"","sampleid","genus","count","count_total","count_relative","Treatment","Time_point","Treatment_group","color","color_base","color_label_group","color_label_group_distinct"
"14","Group 1-A-1","Sangeribacter",574,127864,0.00448914471626103,"Control","Baseline","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"15","Group 1-A-1","Enterocloster",499,127864,0.00390258399549521,"Control","Baseline","Control","#f3c3c0","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.51"
"16","Group 1-A-1","Enterocloster",495,127864,0.00387130075705437,"Control","Baseline","Control","#f3c3c0","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.51"
"17","Group 1-A-1","Guopingia",474,127864,0.00370706375523994,"Control","Baseline","Control","#B6B2B0","#B6B2B0","other__other","other__other.400"
"18","Group 1-A-1","Guopingia",456,127864,0.00356628918225615,"Control","Baseline","Control","#B6B2B0","#B6B2B0","other__other","other__other.400"
"19","Group 1-A-1","Muribaculum",395,127864,0.00308921979603329,"Control","Baseline","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"20","Group 1-A-1","Sangeribacter",371,127864,0.00290152036538823,"Control","Baseline","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"21","Group 1-A-2","Turicibacter",24321,137611,0.176737324777816,"Control","1d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"22","Group 1-A-2","Turicibacter",24290,137611,0.176512052088859,"Control","1d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"23","Group 1-A-2","Duncaniella",13817,137611,0.100406217526215,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"24","Group 1-A-2","Duncaniella",10741,137611,0.078053353292978,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"25","Group 1-A-2","Lactobacillus",6492,137611,0.0471764611840623,"Control","1d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"26","Group 1-A-2","Lactobacillus",5882,137611,0.0427436760142721,"Control","1d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"27","Group 1-A-2","Sporofaciens",3757,137611,0.0273015965293472,"Control","1d","Control","#efafab","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.52"
"28","Group 1-A-2","Sporofaciens",3544,137611,0.0257537551503877,"Control","1d","Control","#efafab","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.52"
"29","Group 1-A-2","Duncaniella",1549,137611,0.0112563675868935,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"30","Group 1-A-2","Duncaniella",1424,137611,0.0103480099701332,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"31","Group 1-A-2","Marvinbryantia",1148,137611,0.00834235635232649,"Control","1d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"32","Group 1-A-2","Marvinbryantia",1063,137611,0.00772467317292949,"Control","1d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"33","Group 1-A-2","Breznakia",935,137611,0.00679451497336695,"Control","1d","Control","#7F7D25","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.18"
"34","Group 1-A-2","Sangeribacter",887,137611,0.006445705648531,"Control","1d","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"35","Group 1-A-2","Muribaculum",877,137611,0.00637303703919018,"Control","1d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"36","Group 1-A-2","Muribaculum",877,137611,0.00637303703919018,"Control","1d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"37","Group 1-A-2","Anaerobacterium",854,137611,0.00620589923770629,"Control","1d","Control","#AB855D","#9C854E","o__Clostridiales","o__Clostridiales.87"
"38","Group 1-A-2","Sangeribacter",803,137611,0.00583528933006809,"Control","1d","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"39","Group 1-A-2","Anaerobacterium",782,137611,0.00568268525045236,"Control","1d","Control","#AB855D","#9C854E","o__Clostridiales","o__Clostridiales.87"
"40","Group 1-A-2","Breznakia",765,137611,0.00555914861457296,"Control","1d","Control","#7F7D25","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.18"
"41","Group 1-A-3","Duncaniella",15222,160535,0.0948204441399072,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"42","Group 1-A-3","Duncaniella",14199,160535,0.0884480019933348,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"43","Group 1-A-3","Lactobacillus",13177,160535,0.0820817890179712,"Control","4d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"44","Group 1-A-3","Lactobacillus",12693,160535,0.0790668701529262,"Control","4d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"45","Group 1-A-3","Turicibacter",11726,160535,0.0730432615940449,"Control","4d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"46","Group 1-A-3","Turicibacter",11122,160535,0.0692808421839474,"Control","4d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"47","Group 1-A-3","Marvinbryantia",3504,160535,0.0218270159155324,"Control","4d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"48","Group 1-A-3","Marvinbryantia",3452,160535,0.0215030990126764,"Control","4d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"49","Group 1-A-3","Duncaniella",1988,160535,0.0123835923630361,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"50","Group 1-A-3","Duncaniella",1905,160535,0.0118665711527081,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"51","Group 1-A-3","Mediterraneibacter",1774,160535,0.0110505497243592,"Control","4d","Control","#f5cdca","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.53"
"52","Group 1-A-3","Mediterraneibacter",1722,160535,0.0107266328215031,"Control","4d","Control","#f5cdca","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.53"
"53","Group 1-A-3","Anaerostipes",1606,160535,0.0100040489612857,"Control","4d","Control","#E78791","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.16"
"54","Group 1-A-3","Anaerostipes",1597,160535,0.00994798642040677,"Control","4d","Control","#E78791","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.16"
"55","Group 1-A-3","Muribaculum",1592,160535,0.00991684056436291,"Control","4d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"56","Group 1-A-3","Muribaculum",1471,160535,0.00916311084810166,"Control","4d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"57","Group 1-A-3","Murimonas",1118,160535,0.00696421341140561,"Control","4d","Control","#FFA29A","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.49"
"58","Group 1-A-3","Murimonas",1099,160535,0.00684585915843897,"Control","4d","Control","#FFA29A","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.49"
"59","Group 1-A-3","Eggerthella",1023,160535,0.0063724421465724,"Control","4d","Control","#A76188","#A77097","p__Actinobacteria","p__Actinobacteria.83"
"60","Group 1-A-3","Sangeribacter",998,160535,0.00621671286635313,"Control","4d","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"61","Group 1-A-4","Duncaniella",15685,145207,0.108018208488571,"Control","7d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"62","Group 1-A-4","Duncaniella",12103,145207,0.0833499762408148,"Control","7d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"63","Group 1-A-4","Turicibacter",11506,145207,0.079238604199522,"Control","7d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"64","Group 1-A-4","Turicibacter",11146,145207,0.0767593848781395,"Control","7d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"65","Group 1-A-4","Lactobacillus",8047,145207,0.0554174385532378,"Control","7d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"66","Group 1-A-4","Lactobacillus",6162,145207,0.0424359707176651,"Control","7d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"67","Group 1-A-4","Clostridium",3035,145207,0.0209011962233226,"Control","7d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"68","Group 1-A-4","Marvinbryantia",2956,145207,0.0203571453166858,"Control","7d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"69","Group 1-A-4","Marvinbryantia",2641,145207,0.0181878284104761,"Control","7d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"70","Group 1-A-4","Clostridium",2434,145207,0.0167622773006811,"Control","7d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"71","Group 1-A-4","Anaerostipes",2058,145207,0.0141728704539037,"Control","7d","Control","#E78791","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.16"
"72","Group 1-A-4","Anaerobacterium",1976,145207,0.0136081593862555,"Control","7d","Control","#AB855D","#9C854E","o__Clostridiales","o__Clostridiales.87"
"73","Group 1-A-4","Anaerostipes",1872,145207,0.0128919404711894,"Control","7d","Control","#E78791","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.16"
"74","Group 1-A-4","Anaerobacterium",1856,145207,0.0127817529457946,"Control","7d","Control","#AB855D","#9C854E","o__Clostridiales","o__Clostridiales.87"
"75","Group 1-A-4","Sangeribacter",1504,145207,0.0103576273871094,"Control","7d","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"76","Group 1-A-4","Sangeribacter",1338,145207,0.00921443181113858,"Control","7d","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"77","Group 1-A-4","Alistipes",1198,145207,0.00825029096393425,"Control","7d","Control","#65B0A0","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.115"
"78","Group 1-A-4","Alistipes",1171,145207,0.00806434951483055,"Control","7d","Control","#65B0A0","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.115"
"79","Group 1-A-4","Clostridium",1093,145207,0.00752718532853099,"Control","7d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"80","Group 1-A-4","Clostridium",1075,145207,0.00740322436246187,"Control","7d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"81","Group 1-B-1","Lactobacillus",21503,146607,0.146671032078959,"Control","Baseline","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"82","Group 1-B-1","Lactobacillus",19128,146607,0.130471259898913,"Control","Baseline","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"83","Group 1-B-1","Olsenella",11021,146607,0.0751737638721207,"Control","Baseline","Control","#976396","#A77097","p__Actinobacteria","p__Actinobacteria.18"
"84","Group 1-B-1","Olsenella",9966,146607,0.0679776545458266,"Control","Baseline","Control","#976396","#A77097","p__Actinobacteria","p__Actinobacteria.18"
"85","Group 1-B-1","Duncaniella",7942,146607,0.0541720381700737,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"86","Group 1-B-1","Turicibacter",6966,146607,0.0475147844236633,"Control","Baseline","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"87","Group 1-B-1","Turicibacter",6171,146607,0.04209212384129,"Control","Baseline","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"88","Group 1-B-1","Duncaniella",5978,146607,0.0407756791967641,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"89","Group 1-B-1","Clostridium",2090,146607,0.0142557995184405,"Control","Baseline","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"90","Group 1-B-1","Clostridium",1708,146607,0.0116501940562183,"Control","Baseline","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"91","Group 1-B-1","Marvinbryantia",1543,146607,0.0105247361994993,"Control","Baseline","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"92","Group 1-B-1","Marvinbryantia",1403,146607,0.00956980226046505,"Control","Baseline","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"93","Group 1-B-1","Eubacterium",1125,146607,0.00767357629581125,"Control","Baseline","Control","#8D764E","#9C854E","o__Clostridiales","o__Clostridiales.13"
"94","Group 1-B-1","Guopingia",1119,146607,0.00763265055556692,"Control","Baseline","Control","#B6B2B0","#B6B2B0","other__other","other__other.400"
"95","Group 1-B-1","Guopingia",1030,146607,0.00702558540860941,"Control","Baseline","Control","#B6B2B0","#B6B2B0","other__other","other__other.400"
"96","Group 1-B-1","Duncaniella",939,146607,0.00640487834823712,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"97","Group 1-B-1","Eubacterium",894,146607,0.00609793529640467,"Control","Baseline","Control","#8D764E","#9C854E","o__Clostridiales","o__Clostridiales.13"
"98","Group 1-B-1","Sangeribacter",866,146607,0.00590694850859782,"Control","Baseline","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"99","Group 1-B-1","Muribaculum",829,146607,0.00565457311042447,"Control","Baseline","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"100","Group 1-B-1","Enterocloster",821,146607,0.00560000545676537,"Control","Baseline","Control","#f3c3c0","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.51"
"101","Group 1-B-2","Lactobacillus",25103,117957,0.212814839305849,"Control","1d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"102","Group 1-B-2","Lactobacillus",22194,117957,0.18815331010453,"Control","1d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"103","Group 1-B-2","Duncaniella",12241,117957,0.103775104487228,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"104","Group 1-B-2","Duncaniella",9697,117957,0.0822079232262604,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"105","Group 1-B-2","Turicibacter",4938,117957,0.0418627126834355,"Control","1d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"106","Group 1-B-2","Turicibacter",4281,117957,0.0362928863908034,"Control","1d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"107","Group 1-B-2","Marvinbryantia",1352,117957,0.0114618038776842,"Control","1d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"108","Group 1-B-2","Clostridium",1141,117957,0.00967301643819358,"Control","1d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"109","Group 1-B-2","Marvinbryantia",1117,117957,0.0094695524640335,"Control","1d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"110","Group 1-B-2","Mediterraneibacter",1098,117957,0.00930847681782344,"Control","1d","Control","#f5cdca","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.53"
"111","Group 1-B-2","Duncaniella",1045,117957,0.00885916054155328,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"112","Group 1-B-2","Clostridium",998,117957,0.00846071025882313,"Control","1d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"113","Group 1-B-2","Mediterraneibacter",958,117957,0.008121603635223,"Control","1d","Control","#f5cdca","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.53"
"114","Group 1-B-2","Duncaniella",883,117957,0.00748577871597277,"Control","1d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"115","Group 1-B-2","Eubacterium",599,117957,0.00507812168841188,"Control","1d","Control","#8D764E","#9C854E","o__Clostridiales","o__Clostridiales.13"
"116","Group 1-B-2","Enterocloster",585,117957,0.00495943437015183,"Control","1d","Control","#f3c3c0","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.51"
"117","Group 1-B-2","Mediterraneibacter",570,117957,0.00483226938630179,"Control","1d","Control","#f5cdca","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.53"
"118","Group 1-B-2","Eubacterium",564,117957,0.00478140339276177,"Control","1d","Control","#8D764E","#9C854E","o__Clostridiales","o__Clostridiales.13"
"119","Group 1-B-2","Enterocloster",552,117957,0.00467967140568173,"Control","1d","Control","#f3c3c0","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.51"
"120","Group 1-B-2","Muribaculum",515,117957,0.00436599777885162,"Control","1d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"121","Group 1-B-3","Lactobacillus",13754,170090,0.0808630724910342,"Control","4d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"122","Group 1-B-3","Lactobacillus",13178,170090,0.0774766300194015,"Control","4d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"123","Group 1-B-3","Duncaniella",12821,170090,0.0753777411958375,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"124","Group 1-B-3","Duncaniella",11920,170090,0.0700805455935093,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"125","Group 1-B-3","Mariniplasma",2913,170090,0.0171262272914339,"Control","4d","Control","#B6B2B1","#B6B2B0","other__other","other__other.401"
"126","Group 1-B-3","Mariniplasma",2909,170090,0.0171027103298254,"Control","4d","Control","#B6B2B1","#B6B2B0","other__other","other__other.401"
"127","Group 1-B-3","Gracilibacter",2728,170090,0.016038567817038,"Control","4d","Control","#A9865E","#9C854E","o__Clostridiales","o__Clostridiales.80"
"128","Group 1-B-3","Gracilibacter",2212,170090,0.0130048797695338,"Control","4d","Control","#A9865E","#9C854E","o__Clostridiales","o__Clostridiales.80"
"129","Group 1-B-3","Muribaculum",1874,170090,0.0110176965136104,"Control","4d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"130","Group 1-B-3","Muribaculum",1717,170090,0.0100946557704745,"Control","4d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"131","Group 1-B-3","Duncaniella",1533,170090,0.00901287553648069,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"132","Group 1-B-3","Clostridium",1430,170090,0.00840731377506026,"Control","4d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"133","Group 1-B-3","Alistipes",1423,170090,0.00836615909224528,"Control","4d","Control","#65B0A0","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.115"
"134","Group 1-B-3","Duncaniella",1392,170090,0.00818390263977894,"Control","4d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"135","Group 1-B-3","Clostridium",1371,170090,0.008060438591334,"Control","4d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"136","Group 1-B-3","Alistipes",1340,170090,0.00787818213886766,"Control","4d","Control","#65B0A0","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.115"
"137","Group 1-B-3","Enterocloster",1290,170090,0.00758422011876066,"Control","4d","Control","#f3c3c0","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.51"
"138","Group 1-B-3","Clostridium",1238,170090,0.00727849961784937,"Control","4d","Control","#9C763F","#9C854E","o__Clostridiales","o__Clostridiales.49"
"139","Group 1-B-3","Alistipes",1228,170090,0.00721970721382797,"Control","4d","Control","#65B0A0","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.115"
"140","Group 1-B-3","Enterocloster",1175,170090,0.00690810747251455,"Control","4d","Control","#f3c3c0","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.51"
"141","Group 1-B-4","Duncaniella",27793,132883,0.209153917355869,"Control","7d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"142","Group 1-B-4","Duncaniella",23844,132883,0.179436045242808,"Control","7d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"143","Group 1-B-4","Turicibacter",8891,132883,0.0669084834026926,"Control","7d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"144","Group 1-B-4","Turicibacter",8372,132883,0.0630027919297427,"Control","7d","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"145","Group 1-B-4","Lactobacillus",7008,132883,0.0527381230104679,"Control","7d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"146","Group 1-B-4","Lactobacillus",6248,132883,0.0470188060173235,"Control","7d","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"147","Group 1-B-4","Duncaniella",1664,132883,0.0125222940481476,"Control","7d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"148","Group 1-B-4","Duncaniella",1551,132883,0.0116719219162722,"Control","7d","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"149","Group 1-B-4","Marvinbryantia",1012,132883,0.00761572210139747,"Control","7d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"150","Group 1-B-4","Mediterraneibacter",966,132883,0.00726955291497031,"Control","7d","Control","#f5cdca","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.53"
"151","Group 1-B-4","Mediterraneibacter",958,132883,0.00720934957820037,"Control","7d","Control","#f5cdca","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.53"
"152","Group 1-B-4","Muribaculum",946,132883,0.00711904457304546,"Control","7d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"153","Group 1-B-4","Marvinbryantia",944,132883,0.00710399373885298,"Control","7d","Control","#EDABA3","#EC9B96","f__Lachnospiraceae","f__Lachnospiraceae.28"
"154","Group 1-B-4","Muribaculum",903,132883,0.00679545163790703,"Control","7d","Control","#4CA687","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.41"
"155","Group 1-B-4","Sangeribacter",743,132883,0.00559138490250822,"Control","7d","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"156","Group 1-B-4","Sangeribacter",670,132883,0.00504202945448251,"Control","7d","Control","#b9dbdb","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.101"
"157","Group 1-B-4","Gracilibacter",639,132883,0.004808741524499,"Control","7d","Control","#A9865E","#9C854E","o__Clostridiales","o__Clostridiales.80"
"158","Group 1-B-4","Eubacterium",630,132883,0.00474101277063281,"Control","7d","Control","#8D764E","#9C854E","o__Clostridiales","o__Clostridiales.13"
"159","Group 1-B-4","Eubacterium",611,132883,0.0045980298458042,"Control","7d","Control","#8D764E","#9C854E","o__Clostridiales","o__Clostridiales.13"
"160","Group 1-B-4","Achromobacter",610,132883,0.00459050442870796,"Control","7d","Control","#AF3D47","#AB3535","p__Proteobacteria","p__Proteobacteria.248"
"161","Group 1-C-1","Turicibacter",18696,140470,0.133096034740514,"Control","Baseline","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"162","Group 1-C-1","Turicibacter",17056,140470,0.121420943973802,"Control","Baseline","Control","#66641B","#7A6920","o__Erysipelotrichales","o__Erysipelotrichales.1"
"163","Group 1-C-1","Lactobacillus",8435,140470,0.0600484089129351,"Control","Baseline","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"164","Group 1-C-1","Lactobacillus",7583,140470,0.0539830568804727,"Control","Baseline","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
"165","Group 1-C-1","Duncaniella",6912,140470,0.0492062362070193,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"166","Group 1-C-1","Duncaniella",6703,140470,0.047718374030042,"Control","Baseline","Control","#7fbebe","#51AB9B","p__Bacteroidetes","p__Bacteroidetes.100"
"167","Group 1-C-1","Olsenella",3892,140470,0.0277069836975867,"Control","Baseline","Control","#976396","#A77097","p__Actinobacteria","p__Actinobacteria.18"
"168","Group 1-C-1","Olsenella",3470,140470,0.0247027835124938,"Control","Baseline","Control","#976396","#A77097","p__Actinobacteria","p__Actinobacteria.18"
"169","Group 1-C-1","Lactobacillus",1812,140470,0.0128995515056596,"Control","Baseline","Control","#3B51A3","#3B51A3","g__Lactobacillus","g__Lactobacillus.1"
